,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,licks,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt
74,JUV015,220409,75,2299.074486,2299.205665,2300.380481,2299.20782,2299.20782,"[2299.205665, 2299.305318, 2299.420984, 2299.530484, 2299.64665, 2299.741819, 2299.843819, 2299.959982, 2300.076648, 2300.199982, 2300.308981]",2,2,go,11,normal,2
75,JUV015,220409,76,2303.365135,2303.494302,2303.529468,,2303.494302,[2303.494302],5,-1,nogo,1,normal,
76,JUV015,220409,77,2316.858748,2317.027424,2318.12891,2317.029582,2317.029582,"[2317.027424, 2317.113581, 2317.215247, 2317.317421, 2317.426912, 2317.514412, 2317.616412, 2317.725411, 2317.841411, 2317.97841, 2318.10041]",4,2,go,11,normal,2
77,JUV015,220409,78,2320.874732,2321.008231,2322.270063,2321.010398,2321.010398,"[2321.008231, 2321.108065, 2321.217397, 2321.327905, 2321.43823, 2321.534229, 2321.644396, 2321.761228, 2321.871228, 2321.980894, 2322.097727, 2322.234393]",1,2,go,12,normal,2
78,JUV015,220409,79,2325.498047,2325.65022,2325.65688,,2325.65022,[2325.65022],5,-1,nogo,1,normal,
79,JUV015,220409,80,2340.072322,,,,2343.322642,[],8,0,nogo,0,normal,
80,JUV015,220409,81,2347.19346,2347.356459,2348.451288,2347.358461,2347.358461,"[2347.356459, 2347.448959, 2347.550625, 2347.653125, 2347.762291, 2347.842791, 2347.951624, 2348.06079, 2348.176623, 2348.285289, 2348.400955]",3,2,go,11,normal,2
81,JUV015,220409,82,2351.891941,2352.051107,2355.837759,2352.053107,2352.053107,"[2352.051107, 2352.16644, 2352.281773, 2352.390941, 2352.499772, 2352.601605, 2352.710605, 2352.826771, 2352.93627, 2353.05227, 2353.175269, 2355.809592]",4,2,go,12,normal,2
82,JUV015,220409,83,2357.839084,2357.970917,2361.897902,2357.97325,2357.97325,"[2357.970917, 2358.072083, 2358.187749, 2358.297916, 2358.407587, 2358.509582, 2358.618914, 2358.735247, 2358.844913, 2358.968246, 2359.083581, 2361.877068]",1,2,go,12,normal,2
83,JUV015,220409,84,2363.899227,,,,2367.149547,[],7,0,nogo,0,normal,
84,JUV015,220409,85,2370.872865,2372.906357,2373.165189,,2372.906357,"[2372.906357, 2372.999523, 2373.11469]",15,0,go,3,normal,
85,JUV015,220409,86,2376.798508,2376.957341,2381.529824,2376.959674,2376.959674,"[2376.957341, 2377.044341, 2377.160174, 2377.26234, 2377.378006, 2377.472839, 2377.574839, 2377.697344, 2377.806838, 2377.92317, 2378.032837, 2381.523156]",2,2,go,12,normal,2
86,JUV015,220409,87,2383.531148,,,,2386.781468,[],8,0,nogo,0,normal,
87,JUV015,220409,88,2391.311784,2391.482283,2392.625945,2391.484622,2391.484622,"[2391.482283, 2391.582619, 2391.698621, 2391.801448, 2391.905281, 2392.001448, 2392.110623, 2392.220785, 2392.330279, 2392.453446, 2392.583112]",2,2,go,11,normal,2
88,JUV015,220409,89,2395.5921,,,,2398.594421,[],9,-1,go,0,missed,
89,JUV015,220409,90,2412.376542,2412.577865,2412.835031,,2412.577865,"[2412.577865, 2412.670365, 2412.785198]",6,-1,nogo,3,normal,
90,JUV015,220409,91,2426.872975,2427.147807,2428.168142,2427.149979,2427.149979,"[2427.147807, 2427.255473, 2427.372306, 2427.477306, 2427.579472, 2427.660472, 2427.769638, 2427.885971, 2427.988139, 2428.111303]",4,2,go,10,normal,2
91,JUV015,220409,92,2431.048958,2431.162291,2432.437119,2431.164461,2431.164461,"[2431.162291, 2431.255957, 2431.364462, 2431.47479, 2431.584461, 2431.680122, 2431.796955, 2431.906788, 2432.016622, 2432.133454, 2432.256622, 2432.379453]",1,2,go,12,normal,2
92,JUV015,220409,93,2435.843439,2435.982272,2442.15308,2435.984438,2435.984438,"[2435.982272, 2436.076605, 2436.185271, 2436.294604, 2436.411603, 2436.513769, 2436.622602, 2436.745769, 2436.861935, 2436.971434, 2437.087934, 2437.211433, 2439.415091, 2439.604757, 2440.538587, 2442.124914]",4,2,go,16,normal,2
93,JUV015,220409,94,2444.154405,2449.75055,2450.767712,,2447.404726,"[2449.75055, 2449.964549, 2450.160548, 2450.303214, 2450.472388, 2450.604713, 2450.746712, 2450.760712]",5,0,nogo,8,normal,
94,JUV015,220409,95,2452.769038,,,,2455.771359,[],11,-1,go,0,missed,
95,JUV015,220409,96,2470.128139,2470.285468,2471.494299,2470.287801,2470.287801,"[2470.285468, 2470.371467, 2470.476467, 2470.574303, 2470.687799, 2470.780141, 2470.872465, 2470.988798, 2471.097464, 2471.213797, 2471.33613, 2471.45863]",4,2,go,12,normal,2
96,JUV015,220409,97,2475.279114,,,,2478.281436,[],15,-1,go,0,missed,
97,JUV015,220409,98,2491.824715,2491.975714,2493.219876,2491.977881,2491.977881,"[2491.975714, 2492.084714, 2492.172221, 2492.27438, 2492.383046, 2492.477712, 2492.579712, 2492.695378, 2492.818044, 2492.940044, 2493.06271, 2493.191376]",3,2,go,12,normal,2
98,JUV015,220409,99,2496.481196,2496.628029,2501.859346,2496.630029,2496.630029,"[2496.628029, 2496.729029, 2496.851195, 2496.980527, 2497.07536, 2497.184193, 2497.300026, 2497.423359, 2497.539692, 2497.670025, 2497.806024, 2500.684846, 2500.899679, 2501.695342, 2501.802342]",2,2,go,15,normal,2
99,JUV015,220409,100,2503.860667,2503.979999,2508.470315,2503.982166,2503.982166,"[2503.979999, 2504.080666, 2504.189339, 2504.291998, 2504.415499, 2504.510664, 2504.619997, 2504.736496, 2504.852829, 2504.968829, 2507.496152, 2508.434482]",1,2,go,12,normal,2
100,JUV015,220409,101,2510.471474,2510.63664,2511.681802,2510.638806,2510.638806,"[2510.63664, 2510.723806, 2510.839639, 2510.948805, 2511.064805, 2511.166971, 2511.275637, 2511.39197, 2511.508303, 2511.624469]",1,2,go,10,normal,2
101,JUV015,220409,102,2514.871456,2515.016955,2515.030955,,2515.016955,[2515.016955],7,-1,nogo,1,normal,
102,JUV015,220409,103,2528.953233,2529.096232,2532.859717,2529.098399,2529.098399,"[2529.096232, 2529.175232, 2529.283901, 2529.385731, 2529.502067, 2529.589564, 2529.698563, 2529.800563, 2529.923729, 2530.040062, 2532.838884]",3,2,go,11,normal,2
103,JUV015,220409,104,2534.860876,2535.031709,2535.195875,,2535.031709,"[2535.031709, 2535.138379]",5,-1,nogo,2,normal,
104,JUV015,220409,105,2548.908986,2549.053153,2550.664813,2549.055153,2549.055153,"[2549.053153, 2549.152485, 2549.261985, 2549.358318, 2549.475151, 2549.562651, 2549.67215, 2549.788483, 2549.898149, 2550.021482, 2550.333647, 2550.50948, 2550.62948]",2,2,go,13,normal,2
105,JUV015,220409,106,2553.336802,,,,2556.587122,[],7,0,nogo,0,normal,
106,JUV015,220409,107,2560.857272,,,,2564.107592,[],6,0,nogo,0,normal,
107,JUV015,220409,108,2567.926744,2568.078743,2569.096906,2568.081076,2568.081076,"[2568.078743, 2568.173243, 2568.282743, 2568.393075, 2568.501743, 2568.596408, 2568.698574, 2568.807907, 2568.924073, 2569.046906]",3,2,go,10,normal,2
108,JUV015,220409,109,2572.367226,2572.369059,2576.40371,2572.371226,2572.371226,"[2572.369059, 2572.468061, 2572.562392, 2572.658391, 2572.761224, 2572.863724, 2572.973224, 2573.075723, 2573.192067, 2573.316389, 2573.431888, 2573.547055, 2573.648721, 2576.368379]",3,2,go,14,normal,2
109,JUV015,220409,110,2578.405035,2578.546868,2583.142016,2578.549035,2578.549035,"[2578.546868, 2578.649701, 2578.766034, 2578.875867, 2578.9922, 2579.094032, 2579.203365, 2579.312365, 2579.456364, 2579.571364, 2579.68753, 2579.817363, 2579.926029, 2580.061862, 2583.11385]",4,2,go,15,normal,2
110,JUV015,220409,111,2585.143182,2585.326008,2585.361341,,2585.326008,[2585.326008],5,-1,nogo,1,normal,
111,JUV015,220409,112,2599.574117,,,,2602.824437,[],8,0,nogo,0,normal,
112,JUV015,220409,113,2607.077587,2607.284586,2607.456419,,2607.284586,"[2607.284586, 2607.399086]",5,-1,nogo,2,normal,
113,JUV015,220409,114,2621.705862,,,,2624.956182,[],8,0,nogo,0,normal,
114,JUV015,220409,115,2628.744,,,,2631.746155,[],13,-1,go,0,missed,
115,JUV015,220409,116,2646.190097,2652.272906,2652.754404,,2649.440418,"[2652.272906, 2652.379406, 2652.499744, 2652.635072, 2652.740405]",6,0,nogo,5,normal,
116,JUV015,220409,117,2654.75573,,,,2657.758051,[],14,-1,go,0,missed,
