,Unnamed: 0,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt
55,55,JUV015,220409,56,2121.734862,2117.769044,2118.762207,,2124.985022,6,0,nogo,11,normal,
56,56,JUV015,220409,57,2128.806834,2129.012833,,,2129.012833,7,-1,nogo,0,normal,
57,57,JUV015,220409,58,2142.95811,2129.111999,2139.416625,,2143.242786,6,-1,nogo,8,normal,
58,58,JUV015,220409,59,2156.992721,2143.426275,2143.462108,,2160.243041,8,0,nogo,2,normal,
59,59,JUV015,220409,60,2164.403358,,,,2167.405513,12,-1,go,0,missed,
60,60,JUV015,220409,61,2181.414956,2181.579289,,2181.581456,2181.581456,4,2,go,0,normal,2.0
61,61,JUV015,220409,62,2186.38027,2181.671789,2182.563285,,2186.559436,5,-1,nogo,10,normal,
62,62,JUV015,220409,63,2200.941878,2201.25221,2186.566269,,2201.25221,5,-1,nogo,1,normal,
63,63,JUV015,220409,64,2215.820486,2201.359543,2213.819327,,2219.070806,7,0,nogo,5,normal,
64,64,JUV015,220409,65,2222.616125,2222.832459,,,2222.832459,5,-1,nogo,0,normal,
65,65,JUV015,220409,66,2236.408737,2222.930957,2222.959124,,2239.659057,8,0,nogo,2,normal,
66,66,JUV015,220409,67,2243.77204,2243.984206,,2243.986379,2243.986379,2,2,go,0,normal,2.0
67,67,JUV015,220409,68,2249.79785,2244.085706,2247.796691,,2250.012182,5,-1,nogo,15,normal,
68,68,JUV015,220409,69,2263.718303,2258.508482,2258.635314,,2266.968622,7,0,nogo,3,normal,
69,69,JUV015,220409,70,2271.605429,2271.802928,,2271.804928,2271.804928,3,2,go,0,normal,2.0
70,70,JUV015,220409,71,2275.843745,2271.902761,2272.831924,,2279.094066,8,0,nogo,10,normal,
71,71,JUV015,220409,72,2282.866717,2279.528231,2279.535231,2283.007884,2283.007884,2,2,go,1,normal,2.0
72,72,JUV015,220409,73,2287.0772,2283.10705,2284.260388,,2290.327521,6,0,nogo,12,normal,
73,73,JUV015,220409,74,2294.584337,2294.745341,,2294.74767,2294.74767,4,2,go,0,normal,2.0
74,74,JUV015,220409,75,2299.074486,2294.852669,2295.869165,2299.20782,2299.20782,2,2,go,11,normal,2.0
75,75,JUV015,220409,76,2303.365135,2299.305318,2300.380481,,2303.494302,5,-1,nogo,11,normal,
76,76,JUV015,220409,77,2316.858748,2317.027424,2303.529468,2317.029582,2317.029582,4,2,go,1,normal,2.0
77,77,JUV015,220409,78,2320.874732,2317.113581,2318.12891,2321.010398,2321.010398,1,2,go,11,normal,2.0
78,78,JUV015,220409,79,2325.498047,2321.108065,2322.270063,,2325.65022,5,-1,nogo,12,normal,
79,79,JUV015,220409,80,2340.072322,,2325.65688,,2343.322642,8,0,nogo,1,normal,
80,80,JUV015,220409,81,2347.19346,2347.356459,,2347.358461,2347.358461,3,2,go,0,normal,2.0
81,81,JUV015,220409,82,2351.891941,2347.448959,2348.451288,2352.053107,2352.053107,4,2,go,11,normal,2.0
82,82,JUV015,220409,83,2357.839084,2352.16644,2355.837759,2357.97325,2357.97325,1,2,go,12,normal,2.0
83,83,JUV015,220409,84,2363.899227,2358.072083,2361.897902,,2367.149547,7,0,nogo,12,normal,
84,84,JUV015,220409,85,2370.872865,2372.906357,,,2372.906357,15,0,go,0,normal,
85,85,JUV015,220409,86,2376.798508,2372.999523,2373.165189,2376.959674,2376.959674,2,2,go,3,normal,2.0
86,86,JUV015,220409,87,2383.531148,2377.044341,2381.529824,,2386.781468,8,0,nogo,12,normal,
87,87,JUV015,220409,88,2391.311784,2391.482283,,2391.484622,2391.484622,2,2,go,0,normal,2.0
88,88,JUV015,220409,89,2395.5921,2391.582619,2392.625945,,2398.594421,9,-1,go,11,missed,
89,89,JUV015,220409,90,2412.376542,2412.577865,,,2412.577865,6,-1,nogo,0,normal,
90,90,JUV015,220409,91,2426.872975,2412.670365,2412.835031,2427.149979,2427.149979,4,2,go,3,normal,2.0
91,91,JUV015,220409,92,2431.048958,2427.255473,2428.168142,2431.164461,2431.164461,1,2,go,10,normal,2.0
92,92,JUV015,220409,93,2435.843439,2431.255957,2432.437119,2435.984438,2435.984438,4,2,go,12,normal,2.0
93,93,JUV015,220409,94,2444.154405,2436.076605,2442.15308,,2447.404726,5,0,nogo,16,normal,
94,94,JUV015,220409,95,2452.769038,2449.75055,2450.767712,,2455.771359,11,-1,go,8,missed,
95,95,JUV015,220409,96,2470.128139,2470.285468,,2470.287801,2470.287801,4,2,go,0,normal,2.0
96,96,JUV015,220409,97,2475.279114,2470.371467,2471.494299,,2478.281436,15,-1,go,12,missed,
97,97,JUV015,220409,98,2491.824715,2491.975714,,2491.977881,2491.977881,3,2,go,0,normal,2.0
98,98,JUV015,220409,99,2496.481196,2492.084714,2493.219876,2496.630029,2496.630029,2,2,go,12,normal,2.0
99,99,JUV015,220409,100,2503.860667,2496.729029,2501.859346,2503.982166,2503.982166,1,2,go,15,normal,2.0
100,100,JUV015,220409,101,2510.471474,2504.080666,2508.470315,2510.638806,2510.638806,1,2,go,12,normal,2.0
101,101,JUV015,220409,102,2514.871456,2510.723806,2511.681802,,2515.016955,7,-1,nogo,10,normal,
102,102,JUV015,220409,103,2528.953233,2529.096232,2515.030955,2529.098399,2529.098399,3,2,go,1,normal,2.0
103,103,JUV015,220409,104,2534.860876,2529.175232,2532.859717,,2535.031709,5,-1,nogo,11,normal,
104,104,JUV015,220409,105,2548.908986,2535.138379,2535.195875,2549.055153,2549.055153,2,2,go,2,normal,2.0
105,105,JUV015,220409,106,2553.336802,2549.152485,2550.664813,,2556.587122,7,0,nogo,13,normal,
106,106,JUV015,220409,107,2560.857272,,,,2564.107592,6,0,nogo,0,normal,
107,107,JUV015,220409,108,2567.926744,2568.078743,,2568.081076,2568.081076,3,2,go,0,normal,2.0
108,108,JUV015,220409,109,2572.367226,2568.173243,2569.096906,2572.371226,2572.371226,3,2,go,10,normal,2.0
109,109,JUV015,220409,110,2578.405035,2572.468061,2576.40371,2578.549035,2578.549035,4,2,go,14,normal,2.0
110,110,JUV015,220409,111,2585.143182,2578.649701,2583.142016,,2585.326008,5,-1,nogo,15,normal,
111,111,JUV015,220409,112,2599.574117,,2585.361341,,2602.824437,8,0,nogo,1,normal,
112,112,JUV015,220409,113,2607.077587,2607.284586,,,2607.284586,5,-1,nogo,0,normal,
113,113,JUV015,220409,114,2621.705862,2607.399086,2607.456419,,2624.956182,8,0,nogo,2,normal,
114,114,JUV015,220409,115,2628.744,,,,2631.746155,13,-1,go,0,missed,
115,115,JUV015,220409,116,2646.190097,,,,2649.440418,6,0,nogo,0,normal,
116,116,JUV015,220409,117,2654.75573,2652.272906,2652.754404,,2657.758051,14,-1,go,5,missed,
117,117,JUV015,220409,118,2671.920161,2672.114494,,2672.11666,2672.11666,1,2,go,0,normal,2.0
118,118,JUV015,220409,119,2677.561982,2672.222326,2675.560813,,2680.564301,16,-1,go,14,missed,
119,119,JUV015,220409,120,2694.980236,2695.170235,,2695.172402,2695.172402,2,2,go,0,normal,2.0
120,120,JUV015,220409,121,2700.040049,2695.262901,2696.566563,,2703.290369,6,0,nogo,14,normal,
121,121,JUV015,220409,122,2707.030521,2707.193853,,2707.19602,2707.19602,3,2,go,0,normal,2.0
122,122,JUV015,220409,123,2712.125667,2707.300861,2708.327183,,2715.375987,8,0,nogo,11,normal,
123,123,JUV015,220409,124,2718.90164,,,,2721.904128,16,-1,go,0,missed,
124,124,JUV015,220409,125,2735.745406,2735.930072,,2735.932238,2735.932238,2,2,go,0,normal,2.0
125,125,JUV015,220409,126,2741.675882,2736.023238,2739.674723,,2741.742384,5,-1,nogo,12,normal,
126,126,JUV015,220409,127,2755.593503,2741.844382,2741.895715,2755.776326,2755.776326,4,2,go,2,normal,2.0
127,127,JUV015,220409,128,2759.559979,2755.868659,2756.770155,,2759.700643,7,-1,nogo,10,normal,
128,128,JUV015,220409,129,2774.081919,2774.337421,2759.714977,2774.339585,2774.339585,4,2,go,1,normal,2.0
129,129,JUV015,220409,130,2778.224903,2774.439751,2775.556747,2778.376902,2778.376902,1,2,go,12,normal,2.0
130,130,JUV015,220409,131,2783.105216,2778.467744,2779.422898,2783.263382,2783.263382,2,2,go,10,normal,2.0
131,131,JUV015,220409,132,2788.582361,2783.348715,2786.581202,,2788.715527,5,-1,nogo,13,normal,
132,132,JUV015,220409,133,2802.081141,2788.830699,2799.271821,2802.268806,2802.268806,2,2,go,16,normal,2.0
133,133,JUV015,220409,134,2806.845788,2802.368806,2803.9708,,2808.12495,7,-1,nogo,18,normal,
134,134,JUV015,220409,135,2822.227726,,2808.280449,,2825.478047,7,0,nogo,1,normal,
135,135,JUV015,220409,136,2829.641197,,,,2832.891517,7,0,nogo,0,normal,
136,136,JUV015,220409,137,2836.873668,2837.085167,,,2837.085167,5,-1,nogo,0,normal,
137,137,JUV015,220409,138,2851.426443,2837.177668,2837.472499,,2853.626768,5,-1,nogo,4,normal,
138,138,JUV015,220409,139,2867.847377,2853.7266,2853.997933,,2871.097698,8,0,nogo,4,normal,
139,139,JUV015,220409,140,2875.64068,2878.010837,,,2878.010837,8,-1,nogo,0,normal,
140,140,JUV015,220409,141,2891.860948,2878.104003,2878.140836,,2894.863269,10,-1,go,2,missed,
141,141,JUV015,220409,142,2909.085712,2907.063554,2907.084554,2909.304379,2909.304379,3,2,go,1,normal,2.0
142,142,JUV015,220409,143,2914.091026,2909.386878,2910.62204,,2917.093349,13,-1,go,13,missed,
143,143,JUV015,220409,144,2931.565789,2931.779955,,,2931.779955,5,-1,nogo,0,normal,
144,144,JUV015,220409,145,2945.536567,2931.892954,2932.042787,2945.718566,2945.718566,3,2,go,3,normal,2.0
145,145,JUV015,220409,146,2951.602042,2945.809399,2949.600884,,2954.852363,7,0,nogo,12,normal,
146,146,JUV015,220409,147,2958.419682,2960.123181,,,2960.123181,6,-1,nogo,0,normal,
147,147,JUV015,220409,148,2974.864283,2960.234175,2960.255508,2975.070622,2975.070622,1,2,go,2,normal,2.0
148,148,JUV015,220409,149,2979.504431,2975.148282,2976.243611,,2982.754751,8,0,nogo,13,normal,
149,149,JUV015,220409,150,2986.919742,2987.078734,,2987.080901,2987.080901,3,2,go,0,normal,2.0
150,150,JUV015,220409,151,2992.026047,2987.158067,2988.157563,,2995.276368,8,0,nogo,11,normal,
151,151,JUV015,220409,152,3003.670001,2998.16419,3001.668842,,3006.920321,7,0,nogo,16,normal,
152,152,JUV015,220409,153,3012.242466,3010.114144,3010.241308,,3015.492787,6,0,nogo,2,normal,
153,153,JUV015,220409,154,3019.70827,,,,3032.958717,4,-1,go,0,missed,
154,154,JUV015,220409,155,3036.964701,,,,3040.214869,8,0,nogo,0,normal,
155,155,JUV015,220409,156,3044.373005,,,,3047.375502,13,-1,go,0,missed,
156,156,JUV015,220409,157,3061.195105,,,,3064.445263,8,0,nogo,0,normal,
157,157,JUV015,220409,158,3068.639582,3068.910907,,3068.913073,3068.913073,2,2,go,0,normal,2.0
158,158,JUV015,220409,159,3074.754228,3069.018573,3072.752891,3074.901882,3074.901882,2,2,go,13,normal,2.0
159,159,JUV015,220409,160,3078.8277,3074.980716,3076.237377,,3078.923533,6,-1,nogo,13,normal,
160,160,JUV015,220409,161,3092.546812,3092.712145,3078.944703,3092.714311,3092.714311,2,2,go,1,normal,2.0
161,161,JUV015,220409,162,3098.904953,3092.791144,3096.903794,,3099.132952,5,-1,nogo,12,normal,
162,162,JUV015,220409,163,3112.95123,,3099.161119,,3116.201551,7,0,nogo,1,normal,
163,163,JUV015,220409,164,3120.892199,3121.145031,,,3121.145031,5,-1,nogo,0,normal,
164,164,JUV015,220409,165,3135.249808,3121.245197,3121.295197,3135.424143,3135.424143,2,2,go,2,normal,2.0
165,165,JUV015,220409,166,3140.038289,3135.536807,3136.43897,,3143.288609,8,0,nogo,10,normal,
166,166,JUV015,220409,167,3147.531592,3147.727925,,,3147.727925,5,-1,nogo,0,normal,
167,167,JUV015,220409,168,3161.294704,3161.502203,3147.734258,,3161.502203,5,-1,nogo,1,normal,
168,168,JUV015,220409,169,3175.659824,3161.594702,3161.623536,3175.837312,3175.837312,4,2,go,2,normal,2.0
169,169,JUV015,220409,170,3180.245294,3175.920479,3176.889141,,3180.373627,5,-1,nogo,11,normal,
170,170,JUV015,220409,171,3194.79207,,3180.401961,,3197.794224,12,-1,go,1,missed,
171,171,JUV015,220409,172,3211.505836,3203.435368,3203.449202,3211.537669,3211.537669,4,2,go,1,normal,2.0
172,172,JUV015,220409,173,3216.901315,3213.366662,3214.900156,,3217.533823,6,-1,nogo,9,normal,
173,173,JUV015,220409,174,3231.999754,,3217.547645,,3235.250074,7,0,nogo,1,normal,
174,174,JUV015,220409,175,3239.70489,3239.969889,,3239.972061,3239.972061,1,2,go,0,normal,2.0
175,175,JUV015,220409,176,3244.501871,3240.063222,3241.062051,,3247.752191,8,0,nogo,12,normal,
176,176,JUV015,220409,177,3251.474343,3251.627009,,3251.629184,3251.629184,3,2,go,0,normal,2.0
177,177,JUV015,220409,178,3256.016325,3251.728675,3253.258002,,3259.018646,13,-1,go,16,missed,
178,178,JUV015,220409,179,3272.870424,,,,3275.872912,11,-1,go,0,missed,
179,179,JUV015,220409,180,3289.839856,,,,3293.090176,8,0,nogo,0,normal,
180,180,JUV015,220409,181,3296.646662,3296.820328,,,3296.820328,5,-1,nogo,0,normal,
181,181,JUV015,220409,182,3311.722944,3296.912494,3297.065661,,3312.206944,15,0,go,3,normal,
182,182,JUV015,220409,183,3316.108418,3312.318266,3312.528947,3316.309083,3316.309083,1,2,go,3,normal,2.0
183,183,JUV015,220409,184,3320.928898,3316.399916,3317.385079,,3324.179219,7,0,nogo,11,normal,
184,184,JUV015,220409,185,3327.680205,3327.841871,,3327.844204,3327.844204,2,2,go,0,normal,2.0
185,185,JUV015,220409,186,3331.543856,3327.91537,3329.035199,,3334.794176,7,0,nogo,13,normal,
186,186,JUV015,220409,187,3339.327158,3339.469991,,3339.472158,3339.472158,4,2,go,0,normal,2.0
187,187,JUV015,220409,188,3345.816143,3339.548657,3343.81514,,3349.066463,5,0,nogo,14,normal,
188,188,JUV015,220409,189,3352.652438,,,,3355.902759,6,0,nogo,0,normal,
189,189,JUV015,220409,190,3360.377582,,,,3363.627728,7,0,nogo,0,normal,
190,190,JUV015,220409,191,3371.482701,3363.667394,3369.481538,3371.643029,3371.643029,4,2,go,20,normal,2.0
191,191,JUV015,220409,192,3376.102178,3371.741695,3374.100859,,3379.352498,7,0,nogo,20,normal,
192,192,JUV015,220409,193,3385.303474,3383.280649,3383.302149,,3388.305796,16,-1,go,1,missed,
193,193,JUV015,220409,194,3402.478572,3402.755571,,,3402.755571,6,-1,nogo,0,normal,
194,194,JUV015,220409,195,3417.228513,3402.862404,3406.065224,,3420.478834,7,0,nogo,3,normal,
195,195,JUV015,220409,196,3424.225985,3424.426985,,3424.429318,3424.429318,2,2,go,0,normal,2.0
196,196,JUV015,220409,197,3428.313802,3424.512984,3426.038145,,3431.564122,8,0,nogo,15,normal,
197,197,JUV015,220409,198,3435.347441,3435.516107,,3435.518273,3435.518273,2,2,go,0,normal,2.0
198,198,JUV015,220409,199,3440.359087,3435.59494,3436.821768,,3440.529753,5,-1,nogo,13,normal,
199,199,JUV015,220409,200,3455.308528,,3440.55042,,3458.558848,8,0,nogo,1,normal,
200,200,JUV015,220409,201,3462.728331,,,,3465.978652,8,0,nogo,0,normal,
201,201,JUV015,220409,202,3469.59347,,,,3472.843791,6,0,nogo,0,normal,
202,202,JUV015,220409,203,3476.711275,,,,3479.961596,5,0,nogo,0,normal,
203,203,JUV015,220409,204,3484.113079,3484.375245,,3484.377411,3484.377411,2,2,go,0,normal,2.0
204,204,JUV015,220409,205,3488.637901,3484.484078,3485.933405,,3491.888048,6,0,nogo,15,normal,
205,205,JUV015,220409,206,3495.893699,3496.050031,,3496.052198,3496.052198,2,2,go,0,normal,2.0
206,206,JUV015,220409,207,3500.522013,3496.135364,3497.232026,,3503.772334,6,0,nogo,12,normal,
207,207,JUV015,220409,208,3507.452152,,,,3510.702473,6,0,nogo,0,normal,
208,208,JUV015,220409,209,3514.311291,3514.461291,,3514.463624,3514.463624,4,2,go,0,normal,2.0
209,209,JUV015,220409,210,3518.777274,3514.546291,3515.63162,3518.915106,3518.915106,4,2,go,12,normal,2.0
210,210,JUV015,220409,211,3522.901591,3519.006784,3520.229768,3522.988924,3522.988924,4,2,go,13,normal,2.0
211,211,JUV015,220409,212,3529.336398,3523.081923,3527.335239,3529.471231,3529.471231,1,2,go,14,normal,2.0
212,212,JUV015,220409,213,3535.321541,3529.561731,3533.320221,,3538.323862,10,-1,go,14,missed,
213,213,JUV015,220409,214,3552.606972,3552.798971,,3552.801304,3552.801304,2,2,go,0,normal,2.0
214,214,JUV015,220409,215,3558.986621,3552.891804,3556.985454,,3562.236939,8,0,nogo,13,normal,
215,215,JUV015,220409,216,3565.956418,,,,3569.206739,8,0,nogo,0,normal,
216,216,JUV015,220409,217,3572.700225,3572.865391,,3572.867557,3572.867557,1,2,go,0,normal,2.0
217,217,JUV015,220409,218,3577.474379,3572.95789,3573.93372,3577.598872,3577.598872,2,2,go,11,normal,2.0
218,218,JUV015,220409,219,3583.588681,3577.697538,3581.587356,3583.735681,3583.735681,4,2,go,13,normal,2.0
219,219,JUV015,220409,220,3587.981499,3583.82768,3585.724006,,3588.11733,5,-1,nogo,18,normal,
220,220,JUV015,220409,221,3601.63711,3588.211329,3588.268662,3601.812942,3601.812942,3,2,go,2,normal,2.0
221,221,JUV015,220409,222,3611.590069,3601.889775,3609.58891,3611.727569,3611.727569,1,2,go,23,normal,2.0
222,222,JUV015,220409,223,3616.003718,3611.812901,3613.378562,,3619.254039,7,0,nogo,17,normal,
223,223,JUV015,220409,224,3623.490861,,,,3626.741008,8,0,nogo,0,normal,
224,224,JUV015,220409,225,3630.640493,,,,3633.890813,7,0,nogo,0,normal,
225,225,JUV015,220409,226,3637.372142,3637.585465,,3637.587632,3637.587632,3,2,go,0,normal,2.0
226,226,JUV015,220409,227,3641.961448,3637.691298,3638.616961,3642.07778,3642.07778,4,2,go,10,normal,2.0
227,227,JUV015,220409,228,3648.377589,3642.191447,3646.37643,,3651.627909,6,0,nogo,16,normal,
228,228,JUV015,220409,229,3655.919907,3656.082724,,3656.084891,3656.084891,3,2,go,0,normal,2.0
229,229,JUV015,220409,230,3662.1332,3656.183224,3660.132042,,3665.383521,5,0,nogo,14,normal,
230,230,JUV015,220409,231,3669.753837,3672.083827,,,3672.083827,8,-1,nogo,0,normal,
231,231,JUV015,220409,232,3686.233604,3672.189827,3672.217993,3686.42577,3686.42577,4,2,go,2,normal,2.0
232,232,JUV015,220409,233,3691.122918,3686.531104,3687.520599,,3694.373238,8,0,nogo,11,normal,
233,233,JUV015,220409,234,3698.01589,,,,3701.018211,12,-1,go,0,missed,
234,234,JUV015,220409,235,3714.584824,3714.777659,,3714.779823,3714.779823,3,2,go,0,normal,2.0
235,235,JUV015,220409,236,3722.216303,3714.862989,3720.215135,3722.30746,3722.30746,3,2,go,17,normal,2.0
236,236,JUV015,220409,237,3728.211769,3722.398126,3726.210444,,3731.213924,15,-1,go,13,missed,
237,237,JUV015,220409,238,3744.73187,3744.984369,,,3744.984369,5,-1,nogo,0,normal,
238,238,JUV015,220409,239,3758.401148,3745.099202,3745.148701,,3761.651469,6,0,nogo,2,normal,
239,239,JUV015,220409,240,3766.151784,3766.31045,,3766.312619,3766.312619,4,2,go,0,normal,2.0
240,240,JUV015,220409,241,3770.429767,3766.395783,3767.368946,3770.533267,3770.533267,4,2,go,11,normal,2.0
241,241,JUV015,220409,242,3777.116574,3770.624766,3775.115248,3777.26924,3777.26924,4,2,go,14,normal,2.0
242,242,JUV015,220409,243,3783.197716,3777.366573,3781.196557,,3786.448036,6,0,nogo,12,normal,
243,243,JUV015,220409,244,3789.908689,,,,3792.911011,12,-1,go,0,missed,
244,244,JUV015,220409,245,3807.284786,3807.450952,,,3807.450952,5,-1,nogo,0,normal,
245,245,JUV015,220409,246,3821.632067,3807.558952,3819.231905,3821.798728,3821.798728,2,2,go,8,normal,2.0
246,246,JUV015,220409,247,3825.607546,3821.889228,3822.899557,3825.708713,3825.708713,4,2,go,11,normal,2.0
247,247,JUV015,220409,248,3832.31002,3825.813546,3830.308701,,3835.312341,12,-1,go,14,missed,
248,248,JUV015,220409,249,3850.486447,3841.065651,3848.485288,,3850.641946,8,-1,nogo,28,normal,
249,249,JUV015,220409,250,3865.955218,3850.741113,3863.953901,3866.153051,3866.153051,2,2,go,7,normal,2.0
250,250,JUV015,220409,251,3870.021702,3866.271717,3868.020381,3870.170201,3870.170201,4,2,go,18,normal,2.0
251,251,JUV015,220409,252,3878.506335,3870.262868,3876.505009,,3881.756655,7,0,nogo,19,normal,
252,252,JUV015,220409,253,3885.598973,,,,3888.601294,10,-1,go,0,missed,
253,253,JUV015,220409,254,3902.086407,,,,3905.336728,7,0,nogo,0,normal,
254,254,JUV015,220409,255,3909.888876,,,,3913.139196,8,0,nogo,0,normal,
255,255,JUV015,220409,256,3917.317679,3917.579512,,3917.581678,3917.581678,1,2,go,0,normal,2.0
256,256,JUV015,220409,257,3921.785502,3917.673678,3918.707182,3921.913667,3921.913667,2,2,go,11,normal,2.0
257,257,JUV015,220409,258,3928.828467,3922.013661,3926.827142,3928.932139,3928.932139,4,2,go,13,normal,2.0
