,animal,session,trial,onset,first_lick_in,last_lick_out,water_valve_on,outcome,licks,running_speed,time_0,sound_num,reward,go_nogo,licks_out,quality,water_valve_amt,choice,running_time
151,JUV011,211215,152,1340.222973,1346.667116,1346.79428,,1343.473293,"[1346.667116, 1346.7587800000001]","[1.0947712418295967, 1.981837606839409, 2.0315904139424856, 1.4052287581693332, 0.4357298474943669, 0.8944444444444445, 0.3525641025644232, 1.047008547007668, 1.337099811675753, 1.2830687830685608, 1.0294117647054417, 1.388888888890152, 0.7407407407404237, 1.2690631808273436, 0.24509803921601847, 0.12820512820502056, -0.004629629629626823, 0.21604938271601193, 1.7102396514153901, 2.935729847498532, 2.9487179487154735, 1.7919389978205837, 0.7189542483669874]",1663.447028,7,0,nogo,2,normal,,-1,"[1337.525944, 1338.0459439999995, 1338.5559439999997, 1339.065944, 1339.5759440000002, 1340.0759440000002, 1340.5959439999997, 1340.7259439999998, 1341.315944, 1341.945944, 1342.4559440000003, 1342.9759439999998, 1343.485944, 1343.9959440000002, 1344.5059439999995, 1344.6359439999997, 1345.235944, 1345.8659440000001, 1346.3759440000003, 1346.8859439999997, 1347.405944, 1347.9159440000003, 1348.4259439999996]"
152,JUV011,211215,153,1348.795438,,,,1352.045759,[],"[0.21604938271601193, 1.7102396514153901, 2.935729847498532, 2.9487179487154735, 1.7919389978205837, 0.7189542483669874, 0.08714596949887338, -0.02136752136750343, 0.14583333333330017, -0.11648745519715312, 1.171023965141111, 1.8899782135101868, 1.802832244007943, 0.8660130718950542, 0.7026143790846666, 0.9561965811974509, 0.631808278866832, 1.2908496732020618, 0.4956427015257262, 0.0, 0.06018518518514869]",1663.447028,6,0,nogo,0,normal,,0,"[1345.8659440000001, 1346.3759440000003, 1346.8859439999997, 1347.405944, 1347.9159440000003, 1348.4259439999996, 1348.9359439999998, 1349.065944, 1349.8659440000001, 1350.485944, 1350.9959440000002, 1351.5059439999995, 1352.0159439999998, 1352.525944, 1353.0359440000002, 1353.5559439999997, 1354.065944, 1354.5759440000002, 1355.0859439999995, 1355.2259439999998, 1355.8259440000002]"
153,JUV011,211215,154,1356.261242,,,,1369.511689,[],"[0.9561965811974509, 0.631808278866832, 1.2908496732020618, 0.4956427015257262, 0.0, 0.06018518518514869, 0.4749103942653166, 1.8790849673194572, 2.2489316239336694, 1.6775599128533125, 0.8877995642697726, 0.4302832244014546, 1.1111111111101781, 1.0729847494548785, 0.6590413943364053, 1.367102396513576, 1.228632478631447, 0.8496732026155307, 0.7051282051276131, 0.16161616161610817, 1.0566448801738397, 1.7211328976058184, 1.7681623931609087, 2.080610021785602, 2.3583877995674665, 1.8777777777777778, 1.4155982905971023, 1.388888888890152, 1.2037037037031886, 1.31808278867046, 1.4106753812630128, 1.276709401710563, 1.1437908496727132, 0.27233115468397934, 0.5502136752141756, 1.2745098039210232, 1.868191721132098, 1.9070512820530165, 2.1677559912844755, 1.742424242429429]",1663.447028,4,-1,go,0,missed,,-2,"[1353.5559439999997, 1354.065944, 1354.5759440000002, 1355.0859439999995, 1355.2259439999998, 1355.8259440000002, 1356.445944, 1356.9559440000003, 1357.4759439999998, 1357.985944, 1358.4959440000002, 1359.0059439999995, 1359.525944, 1360.0359440000002, 1360.5459439999995, 1361.0559439999997, 1361.5759440000002, 1362.0859439999995, 1362.605944, 1363.155944, 1363.6659440000003, 1364.1759439999996, 1364.695944, 1365.2059440000003, 1365.7159439999996, 1366.2159439999996, 1366.735944, 1367.2559439999995, 1367.7659439999998, 1368.275944, 1368.7859440000002, 1369.3059439999997, 1369.815944, 1370.3259440000002, 1370.8459439999997, 1371.355944, 1371.8659440000001, 1372.3859439999997, 1372.8959439999999, 1373.0059439999995]"
154,JUV011,211215,155,1373.5176729999998,,,,1376.7678409999999,[],"[0.5502136752141756, 1.2745098039210232, 1.868191721132098, 1.9070512820530165, 2.1677559912844755, 1.742424242429429, 0.9953703703697668, 0.3629032258065155, 2.1405228758160773, 2.1023965141603203, 1.6111111111111112, 0.7897603485849484, -0.16559829059815157, 0.08230452674897674, -0.050505050505200835, -0.04166666666664141, 0.0627240143369286, -0.08169934640519379, 0.0, -0.027233115468446496, -0.010893246187359172]",1663.447028,8,0,nogo,0,normal,,0,"[1370.8459439999997, 1371.355944, 1371.8659440000001, 1372.3859439999997, 1372.8959439999999, 1373.0059439999995, 1373.605944, 1374.2259439999998, 1374.735944, 1375.2459440000002, 1375.7459440000002, 1376.2559439999995, 1376.775944, 1377.315944, 1377.4259439999996, 1378.025944, 1378.6459439999999, 1379.155944, 1379.6659440000003, 1380.1759439999996, 1380.6859439999998]"
155,JUV011,211215,156,1380.9259769999999,,,,1383.9284739999998,[],"[-0.04166666666664141, 0.0627240143369286, -0.08169934640519379, 0.0, -0.027233115468446496, -0.010893246187359172, -0.010683760683751715, 0.027233115468446496, -0.02136752136750343, 0.0053418803418852, 0.010893246187359172, 0.04273504273500686, 0.06944444444450759, 0.6644880174289095, 0.7080610021783462, 0.7666666666666667, 0.9615384615393361, 0.37927350427318585, 0.6055555555555555, 0.12345679012346511, 0.0, 0.018832391713743003, 0.19265232974913787, 0.13888888888901518, 0.02723311546839793, 1.0457516339864805, 1.2527233115463048, 0.6045751633995122, 0.8115468409582582, 1.0042735042726612, 0.8224400871470842, 0.408496732025969, 0.27777777777754453, 0.04273504273500686, -0.0231481481481692, 0.030864197530858853, 0.058760683760634425, 0.0871459694990288, 1.3779956427009352]",1663.447028,13,-1,go,0,missed,,-4,"[1378.025944, 1378.6459439999999, 1379.155944, 1379.6659440000003, 1380.1759439999996, 1380.6859439999998, 1381.2059440000003, 1381.7159439999996, 1382.235944, 1382.7559439999995, 1383.2659439999998, 1383.7859440000002, 1384.3059439999997, 1384.815944, 1385.3259440000002, 1385.8259440000002, 1386.3459439999997, 1386.8659440000001, 1387.3659440000001, 1387.905944, 1388.025944, 1388.6159440000001, 1389.235944, 1389.7559439999995, 1390.2659439999998, 1390.775944, 1391.2859440000002, 1391.7959439999995, 1392.3059439999997, 1392.8259440000002, 1393.3359439999995, 1393.8459439999997, 1394.3659440000001, 1394.4959440000002, 1395.0959439999997, 1395.7259439999998, 1396.2459440000002, 1396.7559439999995, 1397.2659439999998]"
156,JUV011,211215,157,1397.7480769999997,,,,1400.998235,[],"[-0.0231481481481692, 0.030864197530858853, 0.058760683760634425, 0.0871459694990288, 1.3779956427009352, 1.0897435897426748, 0.5392156862752406, 0.9259259259255296, 0.37393162393131, 1.0130718954262097, 1.1888888888888889, 0.9803921568623255, 1.1655773420474314, 1.0947712418295967, 1.1965811965822848, 1.1324786324776817, 1.0833333333326765, 1.1419753086417774, 1.1764705882368887, 1.5958605664481187]",1663.447028,8,0,nogo,0,normal,,0,"[1395.0959439999997, 1395.7259439999998, 1396.2459440000002, 1396.7559439999995, 1397.2659439999998, 1397.7859440000002, 1398.2959439999995, 1398.8059439999997, 1399.3259440000002, 1399.8359439999995, 1400.3359439999995, 1400.8459439999997, 1401.355944, 1401.8659440000001, 1402.3859439999997, 1402.5159439999998, 1403.1159440000001, 1403.7459440000002, 1404.2559439999995, 1404.7659439999998]"
157,JUV011,211215,158,1405.1925539999997,1405.463879,1409.305863,1405.4660450000001,1405.4660450000001,"[1405.463879, 1405.5715449999998, 1405.6732109999998, 1405.7613769999998, 1405.877877, 1405.954377, 1406.049709, 1406.158876, 1406.2750419999998, 1406.398541, 1406.515041, 1406.630713, 1409.2843629999998]","[1.1965811965822848, 1.1324786324776817, 1.0833333333326765, 1.1419753086417774, 1.1764705882368887, 1.5958605664481187, 1.7592592592585063, 1.7147435897451493, 1.3997821350756536, 0.25205761316874126, -0.07575757575717487, 0.014124293785329024, 0.03527336860669583, 0.021786492374718344, 1.3725490196072556, 2.0206971677551264, 0.9368191721145595, 0.5174291938995607, 1.0239651416117623]",1663.447028,2,2,go,13,normal,2,2,"[1402.3859439999997, 1402.5159439999998, 1403.1159440000001, 1403.7459440000002, 1404.2559439999995, 1404.7659439999998, 1405.275944, 1405.7959439999995, 1406.3059439999997, 1406.8459439999997, 1406.9559440000003, 1407.5459439999995, 1408.1759439999996, 1408.6859439999998, 1409.195944, 1409.7059440000003, 1410.2159439999996, 1410.7259439999998, 1411.235944]"
158,JUV011,211215,159,1411.3071999999997,1411.4525210000002,1412.7903489999999,1411.454854,1411.454854,"[1411.4525210000002, 1411.533688, 1411.6420199999998, 1411.75052, 1411.85952, 1411.943193, 1412.0525189999998, 1412.1613539999998, 1412.277685, 1412.394351, 1412.5175169999998, 1412.6265170000001, 1412.7621829999998]","[0.021786492374718344, 1.3725490196072556, 2.0206971677551264, 0.9368191721145595, 0.5174291938995607, 1.0239651416117623, 0.881410256411058, 0.65904139433523, 1.1165577342043151, 0.22331154684086302, -0.037037037037126866, 0.014124293785307251, 0.48059964726623067, 2.111111111111111]",1663.447028,2,2,go,13,normal,2,2,"[1408.6859439999998, 1409.195944, 1409.7059440000003, 1410.2159439999996, 1410.7259439999998, 1411.235944, 1411.7559439999995, 1412.2659439999998, 1412.775944, 1413.2859440000002, 1413.4359439999998, 1414.025944, 1414.655944, 1415.155944]"
159,JUV011,211215,160,1415.3806719999998,1415.476505,1415.497675,,1415.476505,[1415.476505],"[1.1165577342043151, 0.22331154684086302, -0.037037037037126866, 0.014124293785307251, 0.48059964726623067, 2.111111111111111, 2.574786324788666, 2.2712418300643877, 1.3398692810451782, 0.41938997821332813, 0.7189542483669874, 0.7080610021783462, 1.0737179487170474, 1.111111111112617, 0.7734204793025012, 0.816993464051938, 0.6349206349191501, 0.9227871939748294, 0.9767025089593125, 0.8823529411776665, 1.0348583877991213, 0.6644880174289095, 1.0309829059838436, 0.9694989106749664, 0.7135076252720257, 0.21604938271606394, 0.05555555555585872, 0.0470809792843575, 1.468253968253714, 2.183333333333333, 1.8191721132889818, 1.699346405228031, 1.0784313725504813]",1663.447028,6,-1,nogo,1,normal,,-1,"[1412.775944, 1413.2859440000002, 1413.4359439999998, 1414.025944, 1414.655944, 1415.155944, 1415.6759439999996, 1416.1859439999998, 1416.695944, 1417.2059440000003, 1417.7159439999996, 1418.2259439999998, 1418.7459440000002, 1419.2559439999995, 1419.7659439999998, 1420.275944, 1420.4159440000003, 1421.0059439999995, 1421.6259440000003, 1422.1359439999997, 1422.6459439999999, 1423.155944, 1423.6759439999996, 1424.1859439999998, 1424.695944, 1425.235944, 1425.3359439999995, 1425.9259439999996, 1426.5559439999997, 1427.0559439999997, 1427.565944, 1428.0759440000002, 1428.5859439999995]"
160,JUV011,211215,161,1429.099784,1429.265117,1433.4567659999998,1429.2672830000001,1429.2672830000001,"[1429.265117, 1429.3441159999998, 1429.4531160000001, 1429.5552819999998, 1429.6646150000001, 1429.7526149999999, 1429.854781, 1429.964614, 1430.0746129999998, 1430.191613, 1430.3286119999998, 1433.4429329999998]","[1.468253968253714, 2.183333333333333, 1.8191721132889818, 1.699346405228031, 1.0784313725504813, 0.9935897435889095, 0.6263616557731524, 0.9368191721128889, 0.9277777777777778, 0.6971677559922304, 0.10288065843622092, 1.5199161425557741, 1.4052287581718392, 1.198257080609509, 1.2527233115463048, 1.514161220042925, 1.1591880341890883, 1.2309368191715864]",1663.447028,2,2,go,12,normal,2,2,"[1426.5559439999997, 1427.0559439999997, 1427.565944, 1428.0759440000002, 1428.5859439999995, 1429.105944, 1429.6159440000001, 1430.1259440000003, 1430.6259440000003, 1431.1359439999997, 1431.6759439999996, 1432.2059440000003, 1432.7159439999996, 1433.2259439999998, 1433.735944, 1434.2459440000002, 1434.7659439999998, 1435.275944]"
161,JUV011,211215,162,1435.4579250000002,1435.6859239999999,1435.7140909999998,,1435.6859239999999,[1435.6859239999999],"[1.4052287581718392, 1.198257080609509, 1.2527233115463048, 1.514161220042925, 1.1591880341890883, 1.2309368191715864, 0.908119658120484, 0.05555555555555555, 0.8707264957257648, 1.436965811967119, 1.171023965141111, 1.6122004357291575, 1.4106753812630128, 1.0149572649581882, 0.9858387799560051, 0.4956427015248423, 0.7905982905990097, 1.590413943354439, 1.9191919191976317, 2.060185185183936, 1.6890681003587205, 1.301742919389421, 1.3997821350756536, 1.3289760348601891, 1.4161220043566924, 1.236383442265266, -0.020576131687244186, 1.2393162393151989, 1.8681917211354295, 2.3366013071885425, 1.6448801742912351, 1.3782051282063816, 1.2908496732020618, 1.3616557734198964]",1663.447028,5,-1,nogo,1,normal,,-1,"[1432.7159439999996, 1433.2259439999998, 1433.735944, 1434.2459440000002, 1434.7659439999998, 1435.275944, 1435.7959439999995, 1436.2959439999995, 1436.815944, 1437.3359439999995, 1437.8459439999997, 1438.355944, 1438.8659440000001, 1439.3859439999997, 1439.8959439999999, 1440.405944, 1440.9259439999996, 1441.4359439999998, 1441.5459439999995, 1442.1459439999999, 1442.7659439999998, 1443.275944, 1443.7859440000002, 1444.2959439999995, 1444.8059439999997, 1445.315944, 1445.855944, 1446.3759440000003, 1446.8859439999997, 1447.3959439999999, 1447.905944, 1448.4259439999996, 1448.9359439999998, 1449.445944]"
162,JUV011,211215,163,1449.504202,,,,1452.754523,[],"[1.8681917211354295, 2.3366013071885425, 1.6448801742912351, 1.3782051282063816, 1.2908496732020618, 1.3616557734198964, 1.737472766883788, 1.8388888888888888, 1.5865384615399043, 1.590413943354439, 1.8888888888888888, 1.9880174291930488, 1.8627450980417402, 1.688034188032771, 1.699346405228031, 1.8082788671048475, 1.752136752135281, 1.57952069716708, 1.5151515151560249, 0.5046296296293237, 1.4292114695343017, 2.4465811965834217]",1663.447028,7,0,nogo,0,normal,,0,"[1446.8859439999997, 1447.3959439999999, 1447.905944, 1448.4259439999996, 1448.9359439999998, 1449.445944, 1449.9559440000003, 1450.4559440000003, 1450.9759439999998, 1451.485944, 1451.985944, 1452.4959440000002, 1453.0059439999995, 1453.525944, 1454.0359440000002, 1454.5459439999995, 1455.065944, 1455.5759440000002, 1455.6859439999998, 1456.2859440000002, 1456.905944, 1457.4259439999996]"
163,JUV011,211215,164,1457.4451709999998,1457.698003,1457.8481689999999,,1457.698003,"[1457.698003, 1457.7981690000001]","[1.8082788671048475, 1.752136752135281, 1.57952069716708, 1.5151515151560249, 0.5046296296293237, 1.4292114695343017, 2.4465811965834217, 2.554466230935726, 2.042483660129845, 1.895424836600496, 1.3071895424854316, 1.2799564270147028, 1.5740740740734005, 2.0315904139424856, 2.293028322443195, 1.8572984749447388, 1.328976034857819, 1.538461538460247, 1.7372881355927916, 1.6302367941720954, 1.4814814814808475, 0.827886710239297, 1.840958605666983, 2.0352564102547017, 1.672113289759633, 0.5664488017436871, 0.06060606060604056, 0.0, 0.772128060263463, 2.513227513227078, 2.7069716775587542, 2.1078431372539996, 1.3235294117664997, 0.46474358974319957, 0.6535947712415503]",1663.447028,5,-1,nogo,2,normal,,-1,"[1454.5459439999995, 1455.065944, 1455.5759440000002, 1455.6859439999998, 1456.2859440000002, 1456.905944, 1457.4259439999996, 1457.9359439999998, 1458.445944, 1458.9559440000003, 1459.4659439999996, 1459.9759439999998, 1460.485944, 1460.9959440000002, 1461.5059439999995, 1462.0159439999998, 1462.525944, 1462.655944, 1463.2459440000002, 1463.855944, 1464.3659440000001, 1464.8759440000003, 1465.3859439999997, 1465.905944, 1466.4159440000003, 1466.9259439999996, 1467.4759439999998, 1467.5859439999995, 1468.1759439999996, 1468.8059439999997, 1469.315944, 1469.8259440000002, 1470.3359439999995, 1470.855944, 1471.3659440000001]"
